Key,Type,Severity,Component,Line,Message,Effort,RuleName,HowToFix,Tags
8e19c4af-47f7-4729-b6bb-7c7eef979d9a,CODE_SMELL,MINOR,strategic-learning-unified-theatre:vscode-extension/collector.js,129,"Prefer `String#replaceAll()` over `String#replace()`.",5min,"Strings should use ""replaceAll()"" instead of ""replace()"" with global regex","",""
c89c23c3-b6c3-4d28-8a4d-36ff0aa5d0f6,CODE_SMELL,MINOR,strategic-learning-unified-theatre:vscode-extension/collector.js,463,"Prefer `String#replaceAll()` over `String#replace()`.",5min,"Strings should use ""replaceAll()"" instead of ""replace()"" with global regex","",""
ce44e52d-3485-4d7d-9afd-82acb75bf59d,CODE_SMELL,MINOR,strategic-learning-unified-theatre:vscode-extension/extension.js,122,"Do not call `Array#push()` multiple times.",5min,"Multiple consecutive calls to methods that accept multiple arguments should be combined","",""
2e8a6a8b-fe08-4303-9a55-86deb0c6effe,CODE_SMELL,MINOR,strategic-learning-unified-theatre:vscode-extension/extension.js,126,"Do not call `Array#push()` multiple times.",5min,"Multiple consecutive calls to methods that accept multiple arguments should be combined","",""
81f4fdcd-f653-438a-9b92-bf8c59996325,CODE_SMELL,MINOR,strategic-learning-unified-theatre:vscode-extension/extension.js,137,"Redundant Boolean call.",5min,"Extra boolean casts should be removed","",""
18b21a50-72a9-46cc-9fda-a7f9334f2f99,CODE_SMELL,MINOR,strategic-learning-unified-theatre:vscode-extension/extension.js,148,"Do not call `Array#push()` multiple times.",5min,"Multiple consecutive calls to methods that accept multiple arguments should be combined","",""
492fde15-7ce0-4062-a8d9-d5abceed7b5e,CODE_SMELL,MINOR,strategic-learning-unified-theatre:src/commands/handoff.js,13,"Remove this unused import of 'getActiveSprint'.",1min,"Unnecessary imports should be removed","",""
b67f8a4b-3205-41c5-816a-c716ccf3584e,CODE_SMELL,CRITICAL,strategic-learning-unified-theatre:src/llm/embeddings.js,41,"Refactor this function to reduce its Cognitive Complexity from 33 to the 15 allowed.",23min,"Cognitive Complexity of functions should not be too high","",""
e80eb4ee-70a2-4345-be23-1015c846ec7f,CODE_SMELL,MINOR,strategic-learning-unified-theatre:src/llm/embeddings.js,125,"Prefer `Math.max()` to simplify ternary expressions.",5min,"Ternary expressions should be replaced with ""Math.min()"" or ""Math.max()"" for simple comparisons","",""
57d5cf31-07cd-4f04-a5bd-e936a2c15de7,CODE_SMELL,MAJOR,strategic-learning-unified-theatre:src/llm/embeddings.js,139,"Prefer using an optional chain expression instead, as it's more concise and easier to read.",5min,"Optional chaining should be preferred","",""
9d73904f-e80d-4c85-b6a9-980e20022b65,CODE_SMELL,MINOR,strategic-learning-unified-theatre:src/llm/knowledge-graph.js,65,"Prefer `String#replaceAll()` over `String#replace()`.",5min,"Strings should use ""replaceAll()"" instead of ""replace()"" with global regex","",""
62b359f2-82ba-4722-8de3-48cae269f905,CODE_SMELL,MINOR,strategic-learning-unified-theatre:src/llm/knowledge-graph.js,79,"Prefer `String#replaceAll()` over `String#replace()`.",5min,"Strings should use ""replaceAll()"" instead of ""replace()"" with global regex","",""
0ecac158-85f1-4833-a5db-e1e10250a3c0,CODE_SMELL,MINOR,strategic-learning-unified-theatre:src/llm/knowledge-graph.js,91,"Prefer `String#replaceAll()` over `String#replace()`.",5min,"Strings should use ""replaceAll()"" instead of ""replace()"" with global regex","",""
f11729c5-3539-4d4c-8d33-8850eee9c21e,CODE_SMELL,MINOR,strategic-learning-unified-theatre:src/llm/knowledge-graph.js,110,"Prefer `String#replaceAll()` over `String#replace()`.",5min,"Strings should use ""replaceAll()"" instead of ""replace()"" with global regex","",""
b026a6dc-598a-49da-910e-cfd0dca1a8f7,CODE_SMELL,MINOR,strategic-learning-unified-theatre:src/llm/knowledge-graph.js,130,"Prefer `String#replaceAll()` over `String#replace()`.",5min,"Strings should use ""replaceAll()"" instead of ""replace()"" with global regex","",""
6e3e7d4a-1e08-4dd5-99cd-7ec46447b5a8,CODE_SMELL,MAJOR,strategic-learning-unified-theatre:tests/e2e/enhance-schedule.test.js,70,"Remove this useless assignment to variable ""history"".",1min,"Unused assignments should be removed","",""
6ea44552-53e6-4056-855b-513de011ab4f,CODE_SMELL,MINOR,strategic-learning-unified-theatre:tests/e2e/enhance-schedule.test.js,70,"Remove the declaration of the unused 'history' variable.",5min,"Unused local variables and functions should be removed","",""
9d8c6a16-ef8f-4952-b118-5ff61fb21c47,CODE_SMELL,MINOR,strategic-learning-unified-theatre:tests/llm/embeddings.test.js,17,"Don't use a zero fraction in the number.",1min,"Number literals should not have unnecessary decimal points or trailing zeros","",""
d849a2a3-f2ad-4d51-9b22-0396404fce1e,CODE_SMELL,MINOR,strategic-learning-unified-theatre:tests/llm/embeddings.test.js,54,"Don't use a zero fraction in the number.",1min,"Number literals should not have unnecessary decimal points or trailing zeros","",""
618082c7-7caa-4760-a709-b38fbd53748a,CODE_SMELL,MINOR,strategic-learning-unified-theatre:tests/llm/embeddings.test.js,60,"Don't use a zero fraction in the number.",1min,"Number literals should not have unnecessary decimal points or trailing zeros","",""
e0a5b2e0-dcdf-4fe1-9160-30c3c5db7218,CODE_SMELL,MINOR,strategic-learning-unified-theatre:tests/llm/related.test.js,14,"Don't use a zero fraction in the number.",1min,"Number literals should not have unnecessary decimal points or trailing zeros","",""
9ef71a23-7666-4dc9-8c53-628eb4ecd32d,CODE_SMELL,MINOR,strategic-learning-unified-theatre:electron-ui/ipc/handlers.cjs,99,"Remove the declaration of the unused 'registerChannel' variable.",5min,"Unused local variables and functions should be removed","",""
a6afd534-acd0-4d2c-ba36-d33bfa9d40ce,CODE_SMELL,MAJOR,strategic-learning-unified-theatre:electron-ui/ipc/handlers.cjs,99,"Remove this useless assignment to variable ""registerChannel"".",1min,"Unused assignments should be removed","",""
10806d58-49e1-4e05-82f9-8ca2efc55b6c,CODE_SMELL,MINOR,strategic-learning-unified-theatre:electron-ui/ipc/handlers.cjs,135,"Prefer `structuredClone(…)` over `JSON.parse(JSON.stringify(…))` to create a deep clone.",5min,"""structuredClone()"" should be used instead of other deep cloning methods","",""
7e480232-8e3e-40f6-99b7-bb3bfbb23351,CODE_SMELL,MINOR,strategic-learning-unified-theatre:electron-ui/ipc/handlers.cjs,170,"Prefer `structuredClone(…)` over `JSON.parse(JSON.stringify(…))` to create a deep clone.",5min,"""structuredClone()"" should be used instead of other deep cloning methods","",""
548380d3-ca51-4d7e-b0c3-99761dc95487,CODE_SMELL,MINOR,strategic-learning-unified-theatre:electron-ui/ipc/handlers.cjs,212,"Prefer `structuredClone(…)` over `JSON.parse(JSON.stringify(…))` to create a deep clone.",5min,"""structuredClone()"" should be used instead of other deep cloning methods","",""
ab03eeec-6714-4bcc-a722-8aa564fd5aab,CODE_SMELL,MINOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,116,"Prefer `globalThis` over `window`.",2min,"Use ""globalThis"" instead of ""window"", ""self"", or ""global""","",""
7b16f0bc-86a5-4a06-a696-d741591ab205,CODE_SMELL,MINOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,155,"Prefer `globalThis` over `window`.",2min,"Use ""globalThis"" instead of ""window"", ""self"", or ""global""","",""
f85404b5-d200-4995-b431-f09cacff6c77,CODE_SMELL,MAJOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,289,"A form label must be associated with a control.",5min,"Label elements should have a text label and an associated control","",""
6d7cc42f-f8e5-4d9d-8336-a1ca25bd1b7f,CODE_SMELL,MAJOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,297,"A form label must be associated with a control.",5min,"Label elements should have a text label and an associated control","",""
e544555d-ed9b-48a5-b63a-a10ec86d7c41,CODE_SMELL,MAJOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,395,"A form label must be associated with a control.",5min,"Label elements should have a text label and an associated control","",""
9b4625fe-fdd8-4b8b-81ac-039529e8b6da,CODE_SMELL,MAJOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,403,"A form label must be associated with a control.",5min,"Label elements should have a text label and an associated control","",""
94cf19dd-e46b-4d81-a3de-5ee1e9991f3d,CODE_SMELL,MAJOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,472,"A form label must be associated with a control.",5min,"Label elements should have a text label and an associated control","",""
7c6db9e4-1862-4fad-9fad-91e2bec92518,CODE_SMELL,MAJOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,480,"A form label must be associated with a control.",5min,"Label elements should have a text label and an associated control","",""
2382b23a-5dc4-4752-802b-d99fc3b96b85,CODE_SMELL,MAJOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,494,"A form label must be associated with a control.",5min,"Label elements should have a text label and an associated control","",""
b234c1b7-1482-441a-a362-34ad337bdfa6,CODE_SMELL,MINOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,640,"Prefer `globalThis` over `window`.",2min,"Use ""globalThis"" instead of ""window"", ""self"", or ""global""","",""
